微博id,微博正文,头条文章url,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数,,,,,,,,,,
IecVnfxKr,【外交部回应美不派高级代表参加进博会：来，欢迎；不来，也没什么大不了】有报道称，美方今天确认不会派高级别代表参加本届进博会。对此，耿爽表示：我想，他们来，我们欢迎；他们不来，也没有什么大不了。目前报名参展的美国企业数量达到192家。美方参展面积达到了4.75万平方米，居各参展国首位。这再次说明，美国企业看好中国经济前景，看好中国市场潜力，愿意继续投资中国，愿意继续深化与中方的务实合作。我想这更为重要。毕竟跟中国做生意的、跟中国开展具体经贸合作的是美国企业！                  原图                             ,,http://wx1.sinaimg.cn/large/005Y2yg1ly1g8in9w27ktj30ak0c3t8z.jpg,无,无,11/1/19 16:58,紫宝宝的Android,6648,250,433,,,,,,,,,,
Ied8q1ATH,【两部门发布通告：禁止网售电子烟】据人民日报，国家烟草专卖局、国家市场监督管理总局1号公布通告：不得向未成年人销售电子烟；敦促电子烟生产、销售企业或个人及时关闭电子烟互联网销售网站或客户端，电商平台及时关闭电子烟店铺并将电子烟产品及时下架，撤回互联网发布的电子烟广告！  原图 ,,http://wx3.sinaimg.cn/large/005Y2yg1ly1g8io59pmkej31b80thk2i.jpg,无,无,11/1/19 17:30,紫宝宝的Android,1046,97,294,,,,,,,,,,
IedIJE19K,【关注！速扩！预防未成年人犯罪法修订草案公开征求意见】未成年人保护法修订草案、预防未成年人犯罪法修订草案等6部法律草案，日前在中国人大网公布，开始公开征求社会各界意见。征求意见截至今年11月29日。公众可以直接登录中国人大网（www.npc.gov.cn）提出意见！  原图 ,,http://wx4.sinaimg.cn/large/005Y2yg1ly1g8in06bp25j30u00iwtbg.jpg,无,无,11/1/19 19:00,紫宝宝的Android,12117,4637,1470,,,,,,,,,,
Iee0bsSAY,【卫健委：中国人均健康预期寿命不到70岁】1日，国家卫健委新闻发布会指出，截至2018年底，60岁及以上老年人口达2.5亿。但中国老年人健康状况不容乐观，2018中国人均预期寿命岁，但人均健康预期寿命仅68.7岁。患有一种以上慢性病老年人比例高达75%，失能和部分失能老年人超过4000万，老年人对健康服务的需求非常迫切！http://t.cn/AiBvhD8M ,,无,无,无,11/1/19 19:43,紫宝宝的Android,1214,183,320,,,,,,,,,,
Iee0bsSAY,【卫健委：中国人均健康预期寿命不到70岁】1日，国家卫健委新闻发布会指出，截至2018年底，60岁及以上老年人口达2.5亿。但中国老年人健康状况不容乐观，2018中国人均预期寿命岁，但人均健康预期寿命仅68.7岁。患有一种以上慢性病老年人比例高达75%，失能和部分失能老年人超过4000万，老年人对健康服务的需求非常迫切！中新视频的秒拍视频                                 ,,无,"http://miaopai.video.weibocdn.com/004462NPlx07yf9FLjUk01041200a3mu0E013.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=62b30a3f061b162e421008955c73f536&Expires=1622351997&ssig=d0fYzEASAo&KID=unistore,video",无,11/1/19 19:43,紫宝宝的Android,1214,183,320,,,,,,,,,,
IeeYadkyQ,【星辰大海！中国将建地月空间经济区】中国航天科技集团科技委主任包为民表示，我国要开展高可靠、低成本、航班化进出空间运输系统研究，力争在2030年完成基础研究，突破关键技术；2040年建成高可靠、低成本、航班化航天运输系统；到本世纪中叶，建成地月空间经济区！我们的太空微博的微博视频晚安！  ,,无,"http://f.us.sinaimg.cn/0016Reyblx07qu1i1QaI01041200MBhL0E010.mp4?label=mp4_hd&template=852x480.28.0&Expires=1622351991&ssig=8hdcS1CJWl&KID=unistore,video",无,11/1/19 22:11,紫宝宝的Android,2191,353,438,,,,,,,,,,
Iej4SwEfW,【jio已经不得行咯交警小哥哥碎碎念救助受伤小狗】近日，@成都交警 小哥哥在马路上救助了一只双脚受伤的小狗，一路上与它交流、安慰。小哥哥很暖很温柔，风格很成都，就是话确实多来听听他俩都聊了啥~成都交警的微博视频早安！  ,,无,"http://f.video.weibocdn.com/0014zi4hlx07yc7on60E010412008px00E010.mp4?label=mp4_hd&template=540x960.24.0&trans_finger=7c347e6ee1691b93dc7e5726f4ef34b3&Expires=1622351990&ssig=T84ibIxYuV&KID=unistore,video",无,11/2/19 8:38,紫宝宝的Android,2812,228,338,,,,,,,,,,
IejtP71nF,【英警方称货车遇难者应全为越南人】当地时间1日晚，英国埃塞克斯警方发布声明称，早些时候集装箱货车内发现的39具遗体应全为越南公民，警方正与越南政府联系，并“直接联系”一些越南遇难者家属，但确认身份的证据还需正式提交给英国验尸官办公室；目前警方还不能公布任何遇难者的身份信息…  原图 ,,http://wx4.sinaimg.cn/large/005Y2yg1ly1g8jg5p5l94j30mj0o5n1i.jpg,无,无,11/2/19 9:40,紫宝宝的Android,2484,281,313,,,,,,,,,,
IejRueFCE,【又见校园霸凌！甘肃天水2女生校内遭扇耳光 警方介入调查】10月30日，两段“校园内女生被罚跪扇耳光”的视频在网络传播。31日晚，甘肃天水秦州区教育局通报，打人事件发生在秦州区皂郊中学，目前分管校长已被停职，纪委监委、公安部门已进驻调查！时间视频的秒拍视频  ,,无,"http://miaopai.video.weibocdn.com/004zbQrulx07yfA62Oo8010412008yvA0E013.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=62b30a3f061b162e421008955c73f536&Expires=1622351983&ssig=VVEy4fowG3&KID=unistore,video",无,11/2/19 10:38,紫宝宝的Android,1683,136,374,,,,,,,,,,
Iekmpp0r4,【今年活捉满广志更难了 因为他们又升级了…】朱日和蓝军多款新型火炮实弹射击现场曝光，从07式122榴弹炮到10式120迫榴炮再到10式122毫米远火，蓝军装备的火炮清一色都是陆军最新最强的装备。满广志旅又升级了，围观↓小央视频的秒拍视频  ,,无,"http://miaopai.video.weibocdn.com/002uvefXlx07ycfEEBmM01041200g6SI0E013.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=62b30a3f061b162e421008955c73f536&Expires=1622351981&ssig=FJnLhm6G8m&KID=unistore,video",无,11/2/19 11:54,紫宝宝的Android,1670,151,262,,,,,,,,,,
IekOGwwGx,【@ 党员干部 ：习近平谈党的建设，这13句话要牢记】1日出版的《求是》杂志发表中共中央总书记、国家主席、中央军委主席习近平的重要文章《在中央和国家机关党的建设工作会议上的讲话》。讲话中，习近平对加强和改进中央和国家机关党的建设作出了全面部署。@ 党员干部 ，学习，收藏！图/人民日报  [组图共13张] 原图 ,,"http://ww1.sinaimg.cn/large/005Y2yg1ly1g8jm1sxvyzj30u0137k2v.jpg,http://ww4.sinaimg.cn/large/005Y2yg1ly1g8jm1ufqtnj30u0137k3r.jpg,http://ww4.sinaimg.cn/large/005Y2yg1ly1g8jm1val47j30u0137tkb.jpg,http://ww3.sinaimg.cn/large/005Y2yg1ly1g8jm1wlln2j30u0137alw.jpg,http://ww3.sinaimg.cn/large/005Y2yg1ly1g8jm1xn1f2j30u0137tkn.jpg,http://ww3.sinaimg.cn/large/005Y2yg1ly1g8jm1ym6wej30u01374af.jpg,http://ww4.sinaimg.cn/large/005Y2yg1ly1g8jm1zhj7ej30u013715f.jpg,http://ww4.sinaimg.cn/large/005Y2yg1ly1g8jm20es6ij30u0137qeg.jpg,http://ww3.sinaimg.cn/large/005Y2yg1ly1g8jm21ej2tj30u0137drh.jpg,http://ww4.sinaimg.cn/large/005Y2yg1ly1g8jm228i2ej30u0137tkw.jpg,http://ww1.sinaimg.cn/large/005Y2yg1ly1g8jm235oatj30u0137k3q.jpg,http://ww1.sinaimg.cn/large/005Y2yg1ly1g8jm248h86j30u01377fr.jpg,http://ww1.sinaimg.cn/large/005Y2yg1ly1g8jm254qj8j30u0137tkt.jpg",无,无,11/2/19 13:04,紫宝宝的Android,2024,298,237,,,,,,,,,,
IelYyymAE,【刘纪春，是你吗？】西藏昌都，怒江天险。一座特殊的桥墩，孤零零立在江边，如同一位战士独自驻守。当地人说，桥墩里有一位战士的遗体。为了纪念这位烈士，这座特殊的桥墩被保留了下来！新华网的秒拍视频  ,,无,"http://miaopai.video.weibocdn.com/0001vPzGlx07yfHUNxTO01041201vt0M0E013.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=62b30a3f061b162e421008955c73f536&Expires=1622351980&ssig=RsQRb8lS8R&KID=unistore,video",无,11/2/19 16:01,紫宝宝的Android,1275,164,123,,,,,,,,,,
Iemkz97zU,【年轻人熬夜行为大赏，哪一个是你熬夜的理由？】近日，年轻人睡眠问题再次被热议。调查显示，30%的90后入睡需30分钟以上，近三分之一90后在凌晨1点以后入睡。报复性熬夜、工作忙、追剧、刷手机…年轻人为什么爱熬夜？长期熬夜，会对你的身体造成多少伤害？戳图↓年轻人不要老熬夜！图/人民日报  [组图共9张] 原图 ,,"http://ww1.sinaimg.cn/large/005Y2yg1ly1g8jsqppt0gj30go0r9tak.jpg,http://ww2.sinaimg.cn/large/005Y2yg1ly1g8jsqq274vj30go0r8wgf.jpg,http://ww3.sinaimg.cn/large/005Y2yg1ly1g8jsqqhyaqj30go15tdii.jpg,http://ww4.sinaimg.cn/large/005Y2yg1ly1g8jsqr0t5mj30go0njtar.jpg,http://ww4.sinaimg.cn/large/005Y2yg1ly1g8jsqrdgyaj30go0nu76p.jpg,http://ww2.sinaimg.cn/large/005Y2yg1ly1g8jsqrp6nmj30go0nwdi5.jpg,http://ww4.sinaimg.cn/large/005Y2yg1ly1g8jsqs0ao6j30go0sqgog.jpg,http://ww4.sinaimg.cn/large/005Y2yg1ly1g8jsqscvqlj30go0patbi.jpg,http://ww4.sinaimg.cn/large/005Y2yg1ly1g8jsqspeo8j30go0rc775.jpg",无,无,11/2/19 16:55,紫宝宝的Android,430,117,167,,,,,,,,,,
IemDUwhEx,【硬核！人民陆军的这段视频火了】近日，@人民陆军 发布的航拍钢铁巨龙跨江合拢视频火了！虽然时长只有一分钟，但全程高能！网友：大片没看够…人民陆军的微博视频  ,,无,"http://f.video.weibocdn.com/000QaBa6lx07y92wuBTW01041200iEZR0E010.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=62b30a3f061b162e421008955c73f536&Expires=1622351977&ssig=8Gj4rpjkCM&KID=unistore,video",无,11/2/19 17:43,紫宝宝的Android,3411,983,891,,,,,,,,,,
Ien52w24e,【泪目2岁男孩离世捐献所有器官】2岁男孩昂昂因意外不幸脑死亡。他的妈妈悲痛欲绝之际，决定捐献出他所有的器官，多个孩子因为他重获新生。小宝贝，谢谢你！人民日报的微博视频  ,,无,"http://f.video.weibocdn.com/001VK6Fplx07ye1vjPFK010412002GHA0E010.mp4?label=mp4_hd&template=480x852.24.0&trans_finger=7c347e6ee1691b93dc7e5726f4ef34b3&Expires=1622351976&ssig=vz4Vve54TC&KID=unistore,video",无,11/2/19 18:50,紫宝宝的Android,2851,199,407,,,,,,,,,,
IenyU2dBl,"【教育改革动真格了！你觉得本科生活该怎么过】10月31日，教育部颁布关于一流本科课程建设的实施意见，要让学生体验""跳一跳才能够得着""的学习挑战，要消灭""水课""，取消""清考""，丰富作业评价形式，还提出不参与本科教学的教授不是合格教授…哪些新规戳中你的大学生活 ？你最支持哪个？图/人民日报  [组图共9张] 原图 ",,"http://ww4.sinaimg.cn/large/005Y2yg1ly1g8jy6f638gj30bx0l8t9k.jpg,http://ww3.sinaimg.cn/large/005Y2yg1ly1g8jy6fg07rj30bx0l8jrv.jpg,http://ww3.sinaimg.cn/large/005Y2yg1ly1g8jy6frc9bj30bx0l8wf4.jpg,http://ww3.sinaimg.cn/large/005Y2yg1ly1g8jy6fx0saj30bx0l8dg2.jpg,http://ww1.sinaimg.cn/large/005Y2yg1ly1g8jy6glgjsj30bx0l8js9.jpg,http://ww3.sinaimg.cn/large/005Y2yg1ly1g8jy6gr6t6j30bx0l8gly.jpg,http://ww2.sinaimg.cn/large/005Y2yg1ly1g8jy6gyptaj30bx0l8wf5.jpg,http://ww2.sinaimg.cn/large/005Y2yg1ly1g8jy6h5etbj30bx0l83yw.jpg,http://ww4.sinaimg.cn/large/005Y2yg1ly1g8jy6hh1waj30bx0l8gm3.jpg",无,无,11/2/19 20:03,紫宝宝的Android,1800,217,402,,,,,,,,,,
Ieo5Vu8lD,【这不是电影！金钱收买、色情引诱、网络勾联…教你识别间谍的策反方式】1970年出生的张向斌，曾赴某国常驻，与多名外国女性保持不正当关系，成为间谍情报机关的把柄；1985年出生的陈伟曾工作于某军工科研院所下属公司，在高额报酬诱惑下，出卖大量内部涉密文件；1990年出生的邱德桂，为一万多元好处费，将涉密材料出卖给境外某军情部门人员…警惕！http://t.cn/Ai1selVE ,,无,无,无,11/2/19 21:24,紫宝宝的Android,1251,255,195,,,,,,,,,,
Ieo5Vu8lD,【这不是电影！金钱收买、色情引诱、网络勾联…教你识别间谍的策反方式】1970年出生的张向斌，曾赴某国常驻，与多名外国女性保持不正当关系，成为间谍情报机关的把柄；1985年出生的陈伟曾工作于某军工科研院所下属公司，在高额报酬诱惑下，出卖大量内部涉密文件；1990年出生的邱德桂，为一万多元好处费，将涉密材料出卖给境外某军情部门人员…警惕！央视新闻的微博视频                                 ,,无,无,无,11/2/19 21:24,紫宝宝的Android,1251,255,195,,,,,,,,,,
Ieoe8BqrR,【飒！当特战女兵遇到坏人】“壁咚”苹果，飞踢瓦罐、生撕脸盆……上一秒还在对你微笑，紧接着就硬核操作三连。这不是特效，这是特战女兵！特战女兵，就是这么飒！人民日报的微博视频  ,,无,"http://f.video.weibocdn.com/004zO5eDlx07ygGxaAZq010412005hXc0E010.mp4?label=mp4_hd&template=480x852.24.0&trans_finger=7c347e6ee1691b93dc7e5726f4ef34b3&Expires=1622351965&ssig=RlPnKNj43Y&KID=unistore,video",无,11/2/19 21:45,紫宝宝的Android,1716,162,258,,,,,,,,,,
IeokD8fhy,"【罐车车身写""忘了他吧我开大罐养你"" 交警笑喷：哦哟，违规】近日，山东烟台一罐车车身被泥垢污损，上写：静静，忘了他吧，我开大罐养你。经查该车行车记录未正常运行，反光标识、车牌号等被遮挡，交警作了相应处罚。网友：静静，下个月再忘吧，这个月被罚了有料的秒拍视频晚安！  ",,无,"http://miaopai.video.weibocdn.com/000ZR2wClx07ygRbVnYk01041200nfaz0E013.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=62b30a3f061b162e421008955c73f536&Expires=1622351964&ssig=to2q%2FykJrb&KID=unistore,video",无,11/2/19 22:01,紫宝宝的Android,1088,135,166,,,,,,,,,,
IessAvksa,"【""怎么教都不明白！""36岁妈妈辅导作业气出心梗】1日，湖北襄阳，36岁王女士因陪孩子写作业气得诱发心梗。当晚，王女士为上小学3年级的儿子讲数学题，反复讲解过程中突感心脏不适。王女士称近一年来为孩子学习生了不少气，没想到这次如此严重…辅导作业先掏出药时间视频的秒拍视频早安！  ",,无,"http://miaopai.video.weibocdn.com/00051t29lx07ygUr4tOM01041200fJJ50E013.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=62b30a3f061b162e421008955c73f536&Expires=1622351963&ssig=9vwmw9lV6l&KID=unistore,video",无,11/3/19 8:31,紫宝宝的Android,1917,185,487,,,,,,,,,,
IesSOyIj5,"【我国原创治疗阿尔兹海默病新药获准上市】2日，国家药监局批准治疗阿尔茨海默病新药——甘露特钠胶囊（商品名""九期一""）上市申请。九期一的通过，填补这一领域17年无新药上市的空白。这款中国原创、国际首个靶向脑-肠轴的阿尔茨海默病新药，将于年内投放市场，为患者提供新治疗方案！（央视）  [组图共3张] 原图 ",,"http://ww1.sinaimg.cn/large/005Y2yg1ly1g8k1g8cbbgj31d30u00yf.jpg,http://ww4.sinaimg.cn/large/005Y2yg1ly1g8k1g8vwyyj319b0u045d.jpg,http://ww3.sinaimg.cn/large/005Y2yg1ly1g8k1g99o81j30u017fdjo.jpg",无,无,11/3/19 9:36,紫宝宝的Android,1472,237,197,,,,,,,,,,
Iet9LntC6,【40名大学生旷课太多被退学？教育部回了3个字：好信号】10月31日，在教育部新闻通气会上，针对此前“40名大学生旷课多被直接退学，教育部表示，如果学校是依据相关规定作出的处理，是一个好的信号，有学生不对自己负责，应付出应有的代价！一手video的秒拍视频  ,,无,"http://miaopai.video.weibocdn.com/001i0uaBlx07ye6jknCw01041200eKu50E013.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=62b30a3f061b162e421008955c73f536&Expires=1622351961&ssig=ZtEA2lKQjO&KID=unistore,video",无,11/3/19 10:18,紫宝宝的Android,1565,76,217,,,,,,,,,,
Ietyj9gtn,【动车上乘客脱鞋搭椅背行互殴：2名男子被警方处罚】近日，海南海口一动车上，一乘客脱鞋将脚搭前排椅背，前排乘客起身让其把脚放下，双方发生口角互殴。事后因双方都不愿接受调解，警方对先动手的前排乘客罚款500元，后排乘客罚款200元。你最讨厌的乘车不文明行为是？一手video的秒拍视频  ,,无,"http://miaopai.video.weibocdn.com/002YJeWGlx07ygO6TLHW01041200bz9g0E013.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=62b30a3f061b162e421008955c73f536&Expires=1622351960&ssig=wnSpUsdP6Z&KID=unistore,video",无,11/3/19 11:18,紫宝宝的Android,4528,162,716,,,,,,,,,,
IetU2jly6,【这个上亿的大项目，你参与了吗？】据教育部介绍，截至今年8月底，中国慕课上线数量增加到1.5万门，学习人数上涨至2.7亿人次，在校生获得慕课学分人数达8000万人次。推荐801门国家精品在线课程，涉及文学艺术、计算机、医学等多个领域↓↓收藏，浅谈一下你的学习效果？ 图/@人民日报  [组图共9张] 原图 ,,"http://ww3.sinaimg.cn/large/005Y2yg1ly1g8kq608n17j30go0o377y.jpg,http://ww3.sinaimg.cn/large/005Y2yg1ly1g8kq61nytvj30go4fah7d.jpg,http://ww2.sinaimg.cn/large/005Y2yg1ly1g8kq63og5kj30go4dbqq7.jpg,http://ww2.sinaimg.cn/large/005Y2yg1ly1g8kq64j0fnj30go4eb4lr.jpg,http://ww1.sinaimg.cn/large/005Y2yg1ly1g8kq65f8xxj30go4cdtwq.jpg,http://ww1.sinaimg.cn/large/005Y2yg1ly1g8kq666e05j30go4i1axd.jpg,http://ww3.sinaimg.cn/large/005Y2yg1ly1g8kq66xbqaj30go4dih9f.jpg,http://ww3.sinaimg.cn/large/005Y2yg1ly1g8kq67mxm1j30go4kmaz6.jpg,http://ww4.sinaimg.cn/large/005Y2yg1ly1g8kq68j91xj30go5151kx.jpg",无,无,11/3/19 12:12,紫宝宝的Android,792,475,211,,,,,,,,,,
IeuwgqFUa,"【视频回顾！8年前的今天 神舟八号首次""追吻""天宫！】2011年11月3日1时36分，天宫一号目标飞行器和神舟八号无人飞船成功实施首次交会对接。中国成为继苏美后世界上第三个独立完全掌握空间自动交会对接技术的国家。预计2022年左右，中国载人空间站建成！为中国航天点赞！央视新闻的秒拍视频  ",,无,"http://miaopai.video.weibocdn.com/5wDtmkqxlx07oTQa8xoc01040200CEpd0E013?Expires=1622351958&ssig=hXDa4Aju7o&KID=unistore,video",无,11/3/19 13:46,紫宝宝的Android,544,82,75,,,,,,,,,,
IeuRLnHXt,【上海考察 习近平抱起两岁半孩童】2日下午，正在上海考察的习近平总书记来到杨浦滨江公共空间杨树浦水厂滨江段，沿滨江栈桥察看黄浦江两岸风貌。看到总书记来了，一名两岁半的小朋友兴奋地说：“爷爷好呀”。总书记高兴地抱起孩子，问他几岁啦。央视新闻的微博视频  ,,无,无,无,11/3/19 14:39,紫宝宝的Android,7475,382,668,,,,,,,,,,
Ievlfziv4,【风景线来了！纽约爆发大规模示威游行冲突】当地时间11月1日晚间，纽约布鲁克林城区爆发大规模示威者抗议活动，上千名抗议者涌入纽约地铁，高喊“别让这些猪碰我们”、“揍那个警察”等口号。抗议者直接翻越闸机公然逃票，进入站内向警方挑衅。不仅如此，抗议者不断破坏建筑物、公共汽车，甚至不少人还将自己蒙面。据悉，抗议源于近期纽约警察多次对青少年和黑人暴力执法！http://t.cn/AiBqmrGV ,,无,无,无,11/3/19 15:51,紫宝宝的Android,5969,486,843,,,,,,,,,,
Ievlfziv4,【风景线来了！纽约爆发大规模示威游行冲突】当地时间11月1日晚间，纽约布鲁克林城区爆发大规模示威者抗议活动，上千名抗议者涌入纽约地铁，高喊“别让这些猪碰我们”、“揍那个警察”等口号。抗议者直接翻越闸机公然逃票，进入站内向警方挑衅。不仅如此，抗议者不断破坏建筑物、公共汽车，甚至不少人还将自己蒙面。据悉，抗议源于近期纽约警察多次对青少年和黑人暴力执法！燃新闻的秒拍视频                                 ,,无,"http://miaopai.video.weibocdn.com/000a5D6blx07yipEJyac01041200Jobk0E013.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=62b30a3f061b162e421008955c73f536&Expires=1622351956&ssig=NSIECP3EF9&KID=unistore,video",无,11/3/19 15:51,紫宝宝的Android,5969,486,843,,,,,,,,,,
IevGSfTKy,【祝贺！高分七号卫星发射成功】今天11时22分，我国在太原卫星发射中心用长征四号乙运载火箭，成功发射高分七号卫星。高分七号卫星是我国首颗民用亚米级光学传输型立体测绘卫星。该星运行后将在国土测绘、城乡建设、统计调查等方面发挥重要作用！央视新闻的秒拍视频  ,,无,"http://miaopai.video.weibocdn.com/004lxXQJlx07yioVHuwE010412006DCf0E013.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=62b30a3f061b162e421008955c73f536&Expires=1622351948&ssig=OPm8tDXcqD&KID=unistore,video",无,11/3/19 16:45,紫宝宝的Android,1005,161,155,,,,,,,,,,
