日期,热搜标题,热度,标签,新冠（0/1）,回应,Label-level-1,Label-level-2,Label-level-3
2020年03月28日11点数据,外交部敦促美方不得实施所谓台北法案,570882,国际新闻-中美关系,,,,,
2020年07月20日11点数据,时代少年团奖品是教辅书,212224,软新闻-娱乐圈,,,,,
2020年06月20日23点数据,10岁确诊男孩说住院就是换个地儿学习,1456327,软新闻-休闲,,,,,
2020年12月16日11点数据,林青霞 你是男人还是女人,3474005,软新闻-娱乐圈,,,,,
2020年12月03日23点数据,东北民房着火村民铲雪灭火,755818,软新闻-休闲,,,,,
2019年12月17日11点数据,央视发布新版七子之歌MV,262571,软新闻-娱乐圈,,,,,
2020年06月28日11点数据,6岁男孩溺亡父亲下跪嘶吼求救,610433,社会热点-社会热点,,,,,
2020年10月30日23点数据,德云斗笑社收官,316378,软新闻-娱乐圈,,,,,
2020年09月18日11点数据,新蝙蝠侠恢复拍摄,155254,软新闻-娱乐圈,,,,,
2019年12月07日23点数据,北京的云,885940,软新闻-休闲,,,,,
2020年05月20日23点数据,武汉网红窗帘主人领证,883454,软新闻-娱乐圈,,,,,
2020年08月12日11点数据,当大风天你去遛狗时,303013,软新闻-休闲,,,,,
2020年12月24日11点数据,NBA,305953,软新闻-娱乐圈,,,,,
2020年02月08日23点数据,内蒙古一确诊患者隐瞒行程被立案,281699,犯罪与审判,,,,,
2020年06月22日11点数据,罗永浩准备做脱口秀,142173,软新闻-娱乐圈,,,,,
2020年07月02日23点数据,菊香洋介下线,292690,软新闻-娱乐圈,,,,,
2020年09月13日23点数据,四川省图书馆回应馆藏文物现身拍卖行,814794,社会热点-社会热点,,回应,,,
2020年12月19日23点数据,青春有你3初C,1312741,软新闻-娱乐圈,,,,,
2020年08月20日23点数据,阿里安全回应卖家制售假录取通知书,376368,社会热点-消费者权益,,回应,,,
2020年03月14日11点数据,Dunk,655228,软新闻-休闲,,,,,
2020年08月18日23点数据,深圳盒马确诊3人身份,550031,社会热点-趋势,,,,,
2020年08月13日11点数据,被哈利波特遗漏的演员,468749,软新闻-娱乐圈,,,,,
2020年01月05日11点数据,程潇杜海涛模仿史密斯夫妇,125658,软新闻-娱乐圈,,,,,
2020年06月23日11点数据,请回答1988主演重聚,120686,软新闻-娱乐圈,,,,,
2020年04月26日23点数据,湖北利川鼓励2.5天弹性休假,288839,社会政策-本地政策,,,,,
2020年11月09日23点数据,李钟硕近照,358879,软新闻-娱乐圈,,,,,
2020年05月31日23点数据,山东鸡蛋价格创年内新低,300970,软新闻-休闲,,,,,
2020年05月02日11点数据,用emoji描述自己的职业,297616,软新闻-休闲,,,,,
2020年06月21日23点数据,幸福触手可及大结局,331131,软新闻-娱乐圈,,,,,
2020年08月10日11点数据,火神山医生一眼认出康复患者,2320414,软新闻-休闲,,,,,
2019年12月05日23点数据,狼殿下,419082,软新闻-娱乐圈,,,,,
2020年01月27日23点数据,浪漫医生金师傅,403053,软新闻-娱乐圈,,,,,
2019年12月12日11点数据,性感又高级的穿搭,301051,软新闻-休闲,,,,,
2020年09月11日11点数据,赵彬彬孙晓萌像亮司和雪穗,127501,软新闻-娱乐圈,,,,,
2020年04月30日23点数据,致我们甜甜的小美满大结局,199675,软新闻-娱乐圈,,,,,
2020年10月24日11点数据,高校回应防艾宣讲被指涉及女德,235367,社会热点-趋势,,回应,,,
2020年05月31日23点数据,河南全面取消义务教育特长生招生,197449,社会政策-本地政策,,,,,
2020年10月01日23点数据,当体育生遇到舞蹈生,143403,软新闻-休闲,,,,,
2019年12月19日11点数据,学霸寝室6人获15个名校offer,1974556,软新闻-休闲,,,,,
2020年05月04日23点数据,王俊凯家的窗帘,644588,软新闻-娱乐圈,,,,,
2019年12月04日23点数据,女明星请多多活动,492782,软新闻-娱乐圈,,,,,
2020年06月05日23点数据,救跳楼者被砸伤男子获捐45万元,188838,软新闻-社会怪事,,,,,
2020年06月28日23点数据,陈妍希,534020,软新闻-娱乐圈,,,,,
2020年05月06日23点数据,徽柔听曹评唱歌,163573,软新闻-娱乐圈,,,,,
2019年12月22日11点数据,辛芷蕾回应庆余年被盗播,375738,软新闻-娱乐圈,,回应,,,
2020年04月28日11点数据,被骂哭的导盲犬主人说几乎每天被赶,551552,社会热点-社会热点,,,,,
2020年09月08日23点数据,原来猫和老鼠里说的是真的,488948,软新闻-休闲,,,,,
2020年09月06日23点数据,塞尔维亚总统表情,304382,国际新闻-国际新闻（与中国无关）,,,,,
2019年12月21日11点数据,湖南卫视跨年主题曲,90860,软新闻-娱乐圈,,,,,
2020年09月28日23点数据,中科院博士后当辅警,172430,软新闻-社会怪事,,,,,
2020年11月09日11点数据,黄景瑜吴谨言座椅抱,163594,软新闻-娱乐圈,,,,,
2020年03月06日23点数据,斯黛拉叶东烈接吻,407147,软新闻-娱乐圈,,,,,
2020年08月25日11点数据,七夕布谷鸟,169491,软新闻-休闲,,,,,
2020年06月01日11点数据,YSL212,2023644,软新闻-休闲,,,,,
2020年02月06日23点数据,诗词大会韩亚轩,339205,软新闻-娱乐圈,,,,,
2020年06月30日23点数据,老干妈回应被腾讯起诉,1284165,社会热点-经济,,回应,,,
2020年02月04日11点数据,星梦邮轮世界梦号所有人员,270956,软新闻-休闲,,,,,
2020年02月01日23点数据,野味disco,189854,软新闻-休闲,,,,,
2020年10月02日23点数据,法网2020,140932,软新闻-娱乐圈,,,,,
2020年10月20日23点数据,王一博刘雯同框,759049,软新闻-娱乐圈,,,,,
2020年06月29日23点数据,朱朝阳的一天 我的一天,1890391,软新闻-娱乐圈,,,,,
2020年02月28日23点数据,羡慕家里开超市的,589285,软新闻-休闲,,,,,
2020年05月07日11点数据,中信银行向池子道歉,723157,软新闻-社会事件,,,,,
2020年12月12日11点数据,郑州一饭店进口白虾包装病毒阳性,111304,社会热点-社会热点,,,,,
2020年12月05日23点数据,张靓颖终于等到你全场大合唱,302246,软新闻-娱乐圈,,,,,
2020年01月16日23点数据,婚车停高速应急道等掉队车,161638,软新闻-休闲,,,,,
2019年11月28日11点数据,张艺兴妈妈发文,4664595,软新闻-娱乐圈,,,,,
2020年05月31日11点数据,特朗普观看SpaceX载人飞船发射,462216,国际新闻-国际新闻（与中国无关）,,,,,
2020年09月16日11点数据,成年人的社交真相,120576,软新闻-休闲,,,,,
2020年10月30日23点数据,好物进化论,1534028,软新闻-休闲,,,,,
2019年12月22日23点数据,关晓彤红色纱裙,190404,软新闻-娱乐圈,,,,,
2020年03月17日11点数据,特朗普,393329,国际新闻-国际新闻（与中国无关）,,,,,
2020年03月29日23点数据,唐嫣,1893883,软新闻-娱乐圈,,,,,
2020年01月23日23点数据,天津春晚,344257,软新闻-休闲,,,,,
2020年01月20日11点数据,暴雪之后的加拿大,442540,国际新闻-国际新闻（与中国无关）,,,,,
2020年11月24日23点数据,外交部斥英国插手香港事务,477999,国际新闻-香港问题,,,,,
2020年04月13日23点数据,阿水首发,677744,软新闻-娱乐圈,,,,,
2020年08月15日23点数据,第一次相亲时的尴尬经历,312971,软新闻-休闲,,,,,
2020年10月22日11点数据,巴西一参加牛津疫苗试验志愿者死亡,601791,国际新闻-国际新闻（与中国无关）,1,,,,
2020年07月07日23点数据,杨迪妈妈评隐秘的角落,1378808,软新闻-娱乐圈,,,,,
2020年09月16日11点数据,Apple Watch支持血氧监测,92857,软新闻-休闲,,,,,
2020年11月11日11点数据,拜登称特朗普拒绝承认选举结果令人尴尬,527399,国际新闻-国际新闻（与中国无关）,,,,,
2020年04月03日23点数据,英雄联盟,591829,软新闻-娱乐圈,,,,,
2020年11月07日23点数据,演员请就位版小时代好像小品,1184698,软新闻-娱乐圈,,,,,
2020年09月07日11点数据,德约科维奇误伤裁判被取消美网资格,206208,国际新闻-国际新闻（与中国无关）,,,,,
2019年12月08日23点数据,林书豪罚球绝杀,1489734,软新闻-娱乐圈,,,,,
2020年05月30日11点数据,关晓彤婚纱造型,2096127,软新闻-娱乐圈,,,,,
2020年03月26日23点数据,AG输了,306899,软新闻-娱乐圈,,,,,
2020年05月14日11点数据,郴州推荐假奶粉涉事医生被停职,164740,社会热点-消费者权益,,,,,
2020年11月23日23点数据,男童从13楼掉下被楼下住户抓住,482583,社会热点-社会热点,,,,,
2020年05月05日23点数据,伍佰 挪威的森林,744630,软新闻-娱乐圈,,,,,
2019年12月29日23点数据,医患关系愈发紧张的原因,181182,社会热点-趋势,,,,,
2020年01月08日11点数据,新型电池让手机充1次可续航5天,1039106,软新闻-休闲,,,,,
2020年11月30日23点数据,日本给雄鳗鱼变性迎合市场偏好,380888,国际新闻-国际新闻（与中国无关）,,,,,
2020年03月22日23点数据,意大利对中国建议几乎照单全收,1787522,国际新闻-国际新闻（与中国相关，非美国）,,,,,
2020年06月27日11点数据,中考,391270,软新闻-休闲,,,,,
2020年02月13日23点数据,乐华娱乐声明,306659,软新闻-娱乐圈,,声明,,,
2020年08月04日23点数据,救救苹果肌,1941912,软新闻-休闲,,,,,
2020年07月27日11点数据,顾佳和太太圈决裂,988684,软新闻-娱乐圈,,,,,
2020年05月01日23点数据,内蒙古大兴安岭林区发生雷电火灾,249651,社会新闻-灾难,,,,,
2019年11月25日11点数据,青岛的风有多大,598121,软新闻-休闲,,,,,
2020年12月10日11点数据,瞿泽林王颖飞CP感,324508,软新闻-娱乐圈,,,,,
2020年11月18日23点数据,语气词对女生有多重要,691636,软新闻-休闲,,,,,
2020年08月10日11点数据,黄子韬有实力就会发光,1242758,软新闻-娱乐圈,,,,,
2020年03月05日11点数据,韩国新冠肺炎升至5766人,1445248,国际新闻-国际新闻（与中国无关）,,,,,
2020年10月12日11点数据,湖人 热火,145977,软新闻-娱乐圈,,,,,
2020年09月18日11点数据,27号床快醒醒我是来报恩的,1123926,软新闻-娱乐圈,,,,,
2019年12月24日11点数据,女子边吃火锅边看演唱会,844415,软新闻-休闲,,,,,
2020年04月13日23点数据,影视剧里的撩人名场面,290072,软新闻-娱乐圈,,,,,
2019年12月15日11点数据,珍珠奶茶馒头,111735,软新闻-休闲,,,,,
2020年09月13日23点数据,车主停车甩尾给邻居让出空间,258930,软新闻-休闲,,,,,
2020年08月08日11点数据,全民健身集结号,1629249,软新闻-休闲,,,,,
2020年01月06日11点数据,堪培拉浓烟锁城,95375,国际新闻-国际新闻（与中国无关）,,,,,
2020年08月10日11点数据,虽然是精神病但没关系,152989,软新闻-休闲,,,,,
2020年06月14日23点数据,爆款来了,197247,软新闻-休闲,,,,,
2020年04月04日11点数据,全国性哀悼活动,471145,公民教育,,,,,
2020年08月18日23点数据,权志龙的画,218470,软新闻-娱乐圈,,,,,
2020年11月13日23点数据,教育局回应老师发满意度调查标准答案,345099,社会热点-社会热点,,回应,,,
2020年10月20日23点数据,双十一来临前的焦虑感,226195,软新闻-休闲,,,,,
2020年03月19日11点数据,意大利又一名市长因新冠肺炎去世,1094164,国际新闻-国际新闻（与中国无关）,,,,,
2020年06月17日11点数据,突尼斯发现20具偷渡者遗体,89329,国际新闻-国际新闻（与中国无关）,,,,,
2020年09月08日11点数据,00后苗族小伙参军全寨送行,130516,软新闻-休闲,,,,,
2019年12月10日23点数据,新西兰火山喷发岛上47人国籍已确认,183009,国际新闻-国际新闻（与中国无关）,,,,,
2020年10月10日11点数据,国庆假期游客在重庆吃了一千万桌火锅,721483,社会热点-趋势,,,,,
2020年06月03日11点数据,美多州州长拒绝特朗普想派军队决定,623024,国际新闻-国际新闻（与中国无关）,,,,,
2020年10月26日11点数据,秋冬季节脱衣服有多困难,633590,软新闻-休闲,,,,,
2020年02月26日23点数据,房似锦扶徐姑姑上厕所,490375,软新闻-娱乐圈,,,,,
2020年10月27日11点数据,父亲91岁生日子女买10层蛋糕庆祝,111337,软新闻-休闲,,,,,
2019年12月28日11点数据,男生求婚整栋宿舍楼助攻,335760,软新闻-休闲,,,,,
2020年04月15日23点数据,你和14岁时的区别,269813,软新闻-休闲,,,,,
2020年08月19日23点数据,今年报考医学专业的人更多了,421157,社会热点-趋势,,,,,
2020年07月18日23点数据,陆一舟下线,205971,软新闻-娱乐圈,,,,,
2020年05月01日23点数据,五月第一天的我,244674,软新闻-休闲,,,,,
2020年08月13日11点数据,融入女团的完美翻跳,394622,软新闻-娱乐圈,,,,,
2020年01月30日23点数据,湖北松滋市委书记黄祥龙疑似感染,798391,社会热点-社会热点,,,,,
2020年07月28日11点数据,在澳中国留学生虚拟绑架案激增,298384,国际新闻-国际新闻（与中国相关，非美国）,,,,,
2019年11月22日11点数据,男生有多在意女生的体重,183831,软新闻-休闲,,,,,
2020年04月30日23点数据,张文宏回应两周把病毒闷死,810672,软新闻-娱乐圈,,回应,,,
2020年03月28日23点数据,王嘉尔直播,434838,软新闻-娱乐圈,,,,,
2020年06月26日23点数据,孟佳实力,315625,软新闻-娱乐圈,,,,,
2020年02月29日23点数据,蔡徐坤 快乐大本营,467365,软新闻-娱乐圈,,,,,
2020年01月30日11点数据,曼城不敌曼联,545159,软新闻-娱乐圈,,,,,
2020年10月17日23点数据,TES连扳两局,141362,软新闻-娱乐圈,,,,,
2020年07月01日11点数据,仝卓 我会学习先做一个对的人,3526245,软新闻-娱乐圈,,,,,
2020年10月04日11点数据,13岁少年智救80岁落水老人,188961,软新闻-社会怪事,,,,,
2020年02月17日11点数据,爱的迫降大结局,232975,软新闻-娱乐圈,,,,,
2020年04月04日11点数据,贝索斯捐1亿美元为穷人提供食物,367080,国际新闻-国际新闻（与中国无关）,,,,,
2020年09月24日11点数据,大张伟 浪漫,1237957,软新闻-娱乐圈,,,,,
2020年10月20日11点数据,北京发布选购进口冷冻冰鲜注意事项,152606,社会政策-本地政策,,,,,
2020年11月07日23点数据,施柏宇演的东九好可爱,499732,软新闻-娱乐圈,,,,,
2020年11月27日23点数据,少年的你将代表香港角逐奥斯卡,182574,软新闻-娱乐圈,,,,,
2020年08月24日23点数据,三伏天终于过完了,163677,软新闻-休闲,,,,,
2020年10月17日11点数据,蔡徐坤玩涂鸦,163561,软新闻-娱乐圈,,,,,
2020年10月20日11点数据,体校回应老师带队与学生群殴,376356,社会热点-丑闻,,回应,,,
2020年04月19日23点数据,一条小团团露脸,2096305,软新闻-娱乐圈,,,,,
2020年05月24日23点数据,蔡徐坤新单情人,457202,软新闻-娱乐圈,,,,,
2020年12月31日11点数据,周深说父母其实也不知道怎么当父母,164601,软新闻-娱乐圈,,,,,
2020年12月09日23点数据,李子柒手酿柿子醋,526672,软新闻-娱乐圈,,,,,
2020年12月27日23点数据,杨笠,5129931,软新闻-娱乐圈,,,,,
2020年06月15日11点数据,美国将释放数百万只转基因蚊子,564925,国际新闻-国际新闻（与中国无关）,,,,,
2020年08月11日11点数据,王大陆母亲去世,145308,软新闻-娱乐圈,,,,,
2020年06月29日23点数据,美妆蛋的新用途,195833,软新闻-休闲,,,,,
2020年08月03日11点数据,脑洞三十而已大结局,75222,软新闻-娱乐圈,,,,,
2020年06月24日23点数据,北京暴雨,293723,软新闻-休闲,,,,,
2020年05月14日11点数据,印度最大贫民窟确诊病例破千,658163,国际新闻-国际新闻（与中国无关）,1,,,,
2020年04月19日11点数据,留澳学子收到健康包,183963,社会热点-社会热点,,,,,
2020年07月06日23点数据,仝卓喊话郑云龙,721246,软新闻-娱乐圈,,,,,
2020年03月19日23点数据,广州一大厦现连续高空砸物事件,361924,社会热点-社会热点,,,,,
2020年07月27日23点数据,河神2结局,513666,软新闻-娱乐圈,,,,,
2020年01月29日11点数据,林俊杰 Stay With You,311864,软新闻-娱乐圈,,,,,
2020年05月01日23点数据,跟对象的第一条聊天记录,379095,软新闻-休闲,,,,,
2020年03月21日11点数据,流浪猫每天陪武警站岗,459946,软新闻-休闲,,,,,
2020年05月28日11点数据,世卫组织宣布成立基金会,719974,国际新闻-国际新闻（与中国无关）,,,,,
2020年11月28日11点数据,内蒙古根河现美丽日晕,108024,软新闻-休闲,,,,,
2020年12月21日23点数据,费曼叫吴镇宇别再偷他的车和牛奶了,748862,软新闻-娱乐圈,,,,,
2020年02月22日11点数据,何炅做双皮奶,325281,软新闻-娱乐圈,,,,,
2020年01月02日11点数据,看过最油腻的霸道总裁,181784,软新闻-娱乐圈,,,,,
2020年07月14日11点数据,鞠婧祎露肩上衣,213893,软新闻-娱乐圈,,,,,
2020年06月06日11点数据,文旅部提醒切勿前往澳大利亚旅游,264182,社会政策-政府政策,,,,,
2020年11月25日11点数据,九尾道歉,180032,软新闻-娱乐圈,,,,,
2020年09月24日11点数据,默克尔反对对华为发布针对性禁令,308937,国际新闻-中美关系,,,,,
2020年04月01日11点数据,孟晚舟引渡案因疫情延后,380964,犯罪与审判,1,,,,
2020年05月16日11点数据,周末早醒定律,312611,软新闻-休闲,,,,,
2019年12月16日11点数据,误杀,723493,软新闻-娱乐圈,,,,,
2020年09月12日11点数据,掘金逆转快船,114706,软新闻-娱乐圈,,,,,
2020年01月16日23点数据,看到女友卸妆后的体验,148307,软新闻-休闲,,,,,
2020年02月25日11点数据,斯黛拉怼小三,1083995,软新闻-娱乐圈,,,,,
2020年10月28日11点数据,顶楼,180853,软新闻-娱乐圈,,,,,
2020年06月04日23点数据,呷哺呷哺被列为被执行人,881029,社会热点-经济,,,,,
2020年12月02日23点数据,小米成立集团总办,591876,社会热点-经济,,,,,
2020年12月13日11点数据,黑龙江新增5例确诊,728732,社会热点-趋势,,,,,
2020年11月01日11点数据,琦乐吾穷,432144,软新闻-休闲,,,,,
2020年02月09日11点数据,河南累计确诊病例超千例,495141,社会热点-趋势,1,,,,
2020年03月08日11点数据,骑骆驼找信号上网课,277120,软新闻-休闲,,,,,
2020年03月10日11点数据,NBA宣布更衣室不再对媒体开放,961136,软新闻-娱乐圈,,,,,
2020年10月23日11点数据,郭德纲回应郭麒麟一人养活德云社,792475,软新闻-娱乐圈,,回应,,,
2020年12月13日11点数据,这是今天10点的南京,558440,软新闻-休闲,,,,,
2020年10月05日11点数据,巩俐三页纸台词一条过,951046,软新闻-娱乐圈,,,,,
2020年11月21日11点数据,公司组织员工拓展训练致3死1伤,211090,社会热点-社会热点,,,,,
2020年10月07日23点数据,薇娅双十一爆款清单,757565,软新闻-休闲,,,,,
2019年12月02日23点数据,Zara创始人囤积780亿房产,624906,社会热点-社会热点,,,,,
2020年06月28日23点数据,驻港公署回应美国对中方官员签证限制,322775,国际新闻-香港问题,,回应,,,
2020年07月11日23点数据,小学老师做微商被立案查处,2870240,犯罪与审判,,,,,
2020年08月10日23点数据,司凤璇玑初吻,650814,软新闻-娱乐圈,,,,,
2019年11月26日11点数据,闺蜜失恋时你的反应,436535,软新闻-休闲,,,,,
2020年11月18日23点数据,马保国也难逃真香定律,1226745,软新闻-娱乐圈,,,,,
2020年04月20日23点数据,普京称俄罗斯疫情峰值尚未到来,234635,国际新闻-国际新闻（与中国无关）,1,,,,
2020年12月28日11点数据,NBA,472033,软新闻-娱乐圈,,,,,
2020年01月01日23点数据,橘子洲烟花,3595375,软新闻-休闲,,,,,
2020年10月25日11点数据,故宫明代大鼓太美了,309588,软新闻-休闲,,,,,
2020年08月20日11点数据,玉龙雪山8月飘雪,390638,软新闻-休闲,,,,,
2020年10月26日11点数据,警方通报女子将同伴推下水库,143046,犯罪与审判,,,,,
2020年07月22日11点数据,特朗普承认疫情可能变得更糟,1215464,国际新闻-国际新闻（与中国无关）,1,,,,
2020年06月12日11点数据,弗洛伊德,506633,软新闻-娱乐圈,,,,,
2020年11月12日11点数据,朱一暄可爱,168882,软新闻-娱乐圈,,,,,
2020年12月31日23点数据,为2021立个新flag,2831503,软新闻-休闲,,,,,
2020年11月01日11点数据,双11可能是奥数竞赛,271157,软新闻-休闲,,,,,
2020年07月14日11点数据,美股,199375,国际新闻-国际新闻（与中国无关）,,,,,
2020年02月20日23点数据,美方找到疫苗和药物开发关键靶点,950961,国际新闻-中美关系,1,,,,
2020年06月28日23点数据,易建联成为CBA历史篮板王,568818,软新闻-娱乐圈,,,,,
2020年11月01日23点数据,于正绿洲,254788,软新闻-娱乐圈,,,,,
2019年12月18日11点数据,松花江冰水煮饺子,629650,软新闻-休闲,,,,,
2020年10月21日23点数据,郭艾伦把球衣脱了套在高诗岩身上,675568,软新闻-娱乐圈,,,,,
2020年07月23日11点数据,老人给公交司机扇风被回赠折扇,177716,软新闻-休闲,,,,,
2020年04月03日23点数据,瑞幸爆单,879121,软新闻-休闲,,,,,
2020年11月05日11点数据,西安高校开设弹珠课,208464,软新闻-休闲,,,,,
2020年06月08日23点数据,LGD让一追二,158340,软新闻-娱乐圈,,,,,
2020年03月02日11点数据,美国纽约州首次出现确诊病例,469257,国际新闻-国际新闻（与中国无关）,1,,,,
2019年11月30日23点数据,伦敦恐袭凶手为刚释放恐怖分子,266269,国际新闻-国际新闻（与中国无关）,,,,,
2020年07月29日23点数据,驻港仪仗女兵版无价之姐,299882,国际新闻-香港问题,,,,,
2020年12月09日23点数据,张馨月 没有林峯我也有这样的生活水平,2635129,软新闻-娱乐圈,,,,,
2020年09月28日11点数据,周震南的表情就是我本人,259389,软新闻-娱乐圈,,,,,
2019年12月02日23点数据,夏之光模仿李佳琦,1774555,软新闻-娱乐圈,,,,,
2020年05月20日11点数据,任敏回应,803735,软新闻-娱乐圈,,回应,,,
2020年12月04日11点数据,蒙古国捐赠羊肉到达四川,402757,国际新闻-国际新闻（与中国相关，非美国）,,,,,
2020年02月22日11点数据,美国新冠肺炎病例达34例,568799,国际新闻-国际新闻（与中国无关）,1,,,,
2020年08月28日11点数据,梅西,710385,软新闻-娱乐圈,,,,,
2019年11月25日23点数据,英国货车司机承认帮移民偷渡,3485489,国际新闻-国际新闻（与中国无关）,,,,,
2019年11月28日23点数据,吐槽大会4定档,998169,软新闻-娱乐圈,,,,,
2020年03月08日11点数据,美国首都华盛顿出现首例确诊病例,224787,国际新闻-国际新闻（与中国无关）,1,,,,
2020年06月04日23点数据,救人男子被跳楼者砸伤昏迷,734542,社会热点-社会热点,,,,,
2020年02月13日11点数据,等能出门了我也这样走,116239,软新闻-休闲,,,,,
2020年01月25日23点数据,准备去客厅散散心,4046701,软新闻-休闲,,,,,
2020年06月15日11点数据,李子柒,503171,软新闻-娱乐圈,,,,,
2019年11月26日11点数据,沱沱的风魔教,975558,软新闻-社会事件,,,,,
2020年03月11日23点数据,我是一个保安,480299,软新闻-休闲,,,,,
2020年03月20日23点数据,特朗普疫情简报会上打瞌睡,1236752,国际新闻-国际新闻（与中国无关）,1,,,,
2020年11月08日11点数据,男子路口开车转圈圈下车打醉拳,129673,软新闻-休闲,,,,,
2020年11月02日11点数据,女孩患病借到钱后主动退回筹款,369490,软新闻-休闲,,,,,
2020年10月15日11点数据,王景春用华鼎奖杯喝酒,296958,软新闻-娱乐圈,,,,,
2019年12月05日23点数据,00后女孩18岁保研北大,422294,软新闻-休闲,,,,,
2019年12月03日23点数据,cosmo大合照,347365,软新闻-娱乐圈,,,,,
2020年06月11日11点数据,为什么在美国十万人不如一人,200445,软新闻-休闲,,,,,
2020年09月02日23点数据,华春莹拿钟南山的话回应提问,359263,社会热点-社会热点,,回应,,,
2020年08月27日23点数据,李沁mojito教程,951994,软新闻-娱乐圈,,,,,
2020年02月03日11点数据,董卿 枪响之后没有赢家,4595534,软新闻-娱乐圈,,,,,
