Date,Source,Content,Label_chinese,Labels_original,Labels_4classes,新冠（0/1）,回应（0/1）
8/12/2020,Trending Search,当大风天你去遛狗时,软新闻-休闲,Soft_news_casual,Soft_news,,
12/24/2020,Trending Search,NBA,软新闻-娱乐圈,Soft_news_celebrity&social,Soft_news,,
2/8/2020,Trending Search,内蒙古一确诊患者隐瞒行程被立案,犯罪与审判,Criminal&court,Domestic_news,,
6/22/2020,Trending Search,罗永浩准备做脱口秀,软新闻-娱乐圈,Soft_news_celebrity&social,Soft_news,,
7/2/2020,Trending Search,菊香洋介下线,软新闻-娱乐圈,Soft_news_celebrity&social,Soft_news,,
9/13/2020,Trending Search,四川省图书馆回应馆藏文物现身拍卖行,社会热点-社会热点,Current_affairs_society&issues,Domestic_news,,1
12/19/2020,Trending Search,青春有你3初C,软新闻-娱乐圈,Soft_news_celebrity&social,Soft_news,,
8/20/2020,Trending Search,阿里安全回应卖家制售假录取通知书,社会热点-经济,Current_affairs_economy,Domestic_news,,1
3/14/2020,Trending Search,Dunk,软新闻-休闲,Soft_news_casual,Soft_news,,
8/18/2020,Trending Search,深圳盒马确诊3人身份,社会热点-趋势,Current_affairs_trends,Domestic_news,,
8/13/2020,Trending Search,被哈利波特遗漏的演员,软新闻-娱乐圈,Soft_news_celebrity&social,Soft_news,,
1/5/2020,Trending Search,程潇杜海涛模仿史密斯夫妇,软新闻-娱乐圈,Soft_news_celebrity&social,Soft_news,,
6/23/2020,Trending Search,请回答1988主演重聚,软新闻-娱乐圈,Soft_news_celebrity&social,Soft_news,,
4/26/2020,Trending Search,湖北利川鼓励2.5天弹性休假,政府政策,Government_policy,Domestic_news,,
11/9/2020,Trending Search,李钟硕近照,软新闻-娱乐圈,Soft_news_celebrity&social,Soft_news,,
5/31/2020,Trending Search,山东鸡蛋价格创年内新低,软新闻-休闲,Soft_news_casual,Soft_news,,
5/2/2020,Trending Search,用emoji描述自己的职业,软新闻-休闲,Soft_news_casual,Soft_news,,
6/21/2020,Trending Search,幸福触手可及大结局,软新闻-娱乐圈,Soft_news_celebrity&social,Soft_news,,
8/10/2020,Trending Search,火神山医生一眼认出康复患者,软新闻-休闲,Soft_news_casual,Soft_news,,
12/5/2019,Trending Search,狼殿下,软新闻-娱乐圈,Soft_news_celebrity&social,Soft_news,,
1/27/2020,Trending Search,浪漫医生金师傅,软新闻-娱乐圈,Soft_news_celebrity&social,Soft_news,,
12/12/2019,Trending Search,性感又高级的穿搭,软新闻-休闲,Soft_news_casual,Soft_news,,
9/11/2020,Trending Search,赵彬彬孙晓萌像亮司和雪穗,软新闻-娱乐圈,Soft_news_celebrity&social,Soft_news,,
4/30/2020,Trending Search,致我们甜甜的小美满大结局,软新闻-娱乐圈,Soft_news_celebrity&social,Soft_news,,
10/24/2020,Trending Search,高校回应防艾宣讲被指涉及女德,社会热点-趋势,Current_affairs_trends,Domestic_news,,1
5/31/2020,Trending Search,河南全面取消义务教育特长生招生,政府政策,Government_policy,Domestic_news,,
10/1/2020,Trending Search,当体育生遇到舞蹈生,软新闻-休闲,Soft_news_casual,Soft_news,,
12/19/2019,Trending Search,学霸寝室6人获15个名校offer,软新闻-休闲,Soft_news_casual,Soft_news,,
5/4/2020,Trending Search,王俊凯家的窗帘,软新闻-娱乐圈,Soft_news_celebrity&social,Soft_news,,
12/4/2019,Trending Search,女明星请多多活动,软新闻-娱乐圈,Soft_news_celebrity&social,Soft_news,,
6/5/2020,Trending Search,救跳楼者被砸伤男子获捐45万元,社会热点-社会热点,Current_affairs_society&issues,Domestic_news,,
6/28/2020,Trending Search,陈妍希,软新闻-娱乐圈,Soft_news_celebrity&social,Soft_news,,
5/6/2020,Trending Search,徽柔听曹评唱歌,软新闻-娱乐圈,Soft_news_celebrity&social,Soft_news,,
12/22/2019,Trending Search,辛芷蕾回应庆余年被盗播,软新闻-娱乐圈,Soft_news_celebrity&social,Soft_news,,1
4/28/2020,Trending Search,被骂哭的导盲犬主人说几乎每天被赶,社会热点-社会热点,Current_affairs_society&issues,Domestic_news,,
9/8/2020,Trending Search,原来猫和老鼠里说的是真的,软新闻-休闲,Soft_news_casual,Soft_news,,
9/6/2020,Trending Search,塞尔维亚总统表情,国际新闻,International_affairs_world,International_news,,
12/21/2019,Trending Search,湖南卫视跨年主题曲,软新闻-娱乐圈,Soft_news_celebrity&social,Soft_news,,
9/28/2020,Trending Search,中科院博士后当辅警,社会热点-社会热点,Current_affairs_society&issues,Domestic_news,,
11/9/2020,Trending Search,黄景瑜吴谨言座椅抱,软新闻-娱乐圈,Soft_news_celebrity&social,Soft_news,,
3/6/2020,Trending Search,斯黛拉叶东烈接吻,软新闻-娱乐圈,Soft_news_celebrity&social,Soft_news,,
8/25/2020,Trending Search,七夕布谷鸟,软新闻-休闲,Soft_news_casual,Soft_news,,
6/1/2020,Trending Search,YSL212,软新闻-休闲,Soft_news_casual,Soft_news,,
2/6/2020,Trending Search,诗词大会韩亚轩,软新闻-娱乐圈,Soft_news_celebrity&social,Soft_news,,
6/30/2020,Trending Search,老干妈回应被腾讯起诉,社会热点-经济,Current_affairs_economy,Domestic_news,,1
2/4/2020,Trending Search,星梦邮轮世界梦号所有人员,软新闻-休闲,Soft_news_casual,Soft_news,,
2/1/2020,Trending Search,野味disco,软新闻-休闲,Soft_news_casual,Soft_news,,
10/2/2020,Trending Search,法网2020,软新闻-娱乐圈,Soft_news_celebrity&social,Soft_news,,
10/20/2020,Trending Search,王一博刘雯同框,软新闻-娱乐圈,Soft_news_celebrity&social,Soft_news,,
6/29/2020,Trending Search,朱朝阳的一天 我的一天,软新闻-娱乐圈,Soft_news_celebrity&social,Soft_news,,
2/28/2020,Trending Search,羡慕家里开超市的,软新闻-休闲,Soft_news_casual,Soft_news,,
5/7/2020,Trending Search,中信银行向池子道歉,社会热点-社会热点,Current_affairs_society&issues,Domestic_news,,
12/12/2020,Trending Search,郑州一饭店进口白虾包装病毒阳性,社会热点-社会热点,Current_affairs_society&issues,Domestic_news,,
12/5/2020,Trending Search,张靓颖终于等到你全场大合唱,软新闻-娱乐圈,Soft_news_celebrity&social,Soft_news,,
1/16/2020,Trending Search,婚车停高速应急道等掉队车,软新闻-休闲,Soft_news_casual,Soft_news,,
11/28/2019,Trending Search,张艺兴妈妈发文,软新闻-娱乐圈,Soft_news_celebrity&social,Soft_news,,
5/31/2020,Trending Search,特朗普观看SpaceX载人飞船发射,国际新闻,International_affairs_world,International_news,,
9/16/2020,Trending Search,成年人的社交真相,软新闻-休闲,Soft_news_casual,Soft_news,,
10/30/2020,Trending Search,好物进化论,软新闻-休闲,Soft_news_casual,Soft_news,,
12/22/2019,Trending Search,关晓彤红色纱裙,软新闻-娱乐圈,Soft_news_celebrity&social,Soft_news,,
3/17/2020,Trending Search,特朗普,国际新闻,International_affairs_world,International_news,,
3/29/2020,Trending Search,唐嫣,软新闻-娱乐圈,Soft_news_celebrity&social,Soft_news,,
1/23/2020,Trending Search,天津春晚,软新闻-休闲,Soft_news_casual,Soft_news,,
1/20/2020,Trending Search,暴雪之后的加拿大,国际新闻,International_affairs_world,International_news,,
11/24/2020,Trending Search,外交部斥英国插手香港事务,中外新闻,International_affairs_china_related,International_news,,
4/13/2020,Trending Search,阿水首发,软新闻-娱乐圈,Soft_news_celebrity&social,Soft_news,,
8/15/2020,Trending Search,第一次相亲时的尴尬经历,软新闻-休闲,Soft_news_casual,Soft_news,,
10/22/2020,Trending Search,巴西一参加牛津疫苗试验志愿者死亡,国际新闻,International_affairs_world,International_news,1,
7/7/2020,Trending Search,杨迪妈妈评隐秘的角落,软新闻-娱乐圈,Soft_news_celebrity&social,Soft_news,,
9/16/2020,Trending Search,Apple Watch支持血氧监测,软新闻-休闲,Soft_news_casual,Soft_news,,
11/11/2020,Trending Search,拜登称特朗普拒绝承认选举结果令人尴尬,国际新闻,International_affairs_world,International_news,,
4/3/2020,Trending Search,英雄联盟,软新闻-娱乐圈,Soft_news_celebrity&social,Soft_news,,
11/7/2020,Trending Search,演员请就位版小时代好像小品,软新闻-娱乐圈,Soft_news_celebrity&social,Soft_news,,
9/7/2020,Trending Search,德约科维奇误伤裁判被取消美网资格,国际新闻,International_affairs_world,International_news,,
12/8/2019,Trending Search,林书豪罚球绝杀,软新闻-娱乐圈,Soft_news_celebrity&social,Soft_news,,
5/30/2020,Trending Search,关晓彤婚纱造型,软新闻-娱乐圈,Soft_news_celebrity&social,Soft_news,,
3/26/2020,Trending Search,AG输了,软新闻-娱乐圈,Soft_news_celebrity&social,Soft_news,,
5/14/2020,Trending Search,郴州推荐假奶粉涉事医生被停职,社会热点-经济,Current_affairs_economy,Domestic_news,,
11/23/2020,Trending Search,男童从13楼掉下被楼下住户抓住,社会热点-社会热点,Current_affairs_society&issues,Domestic_news,,
5/5/2020,Trending Search,伍佰 挪威的森林,软新闻-娱乐圈,Soft_news_celebrity&social,Soft_news,,
12/29/2019,Trending Search,医患关系愈发紧张的原因,社会热点-趋势,Current_affairs_trends,Domestic_news,,
1/8/2020,Trending Search,新型电池让手机充1次可续航5天,软新闻-休闲,Soft_news_casual,Soft_news,,
11/30/2020,Trending Search,日本给雄鳗鱼变性迎合市场偏好,国际新闻,International_affairs_world,International_news,,
3/22/2020,Trending Search,意大利对中国建议几乎照单全收,中外新闻,International_affairs_china_related,International_news,,
6/27/2020,Trending Search,中考,软新闻-休闲,Soft_news_casual,Soft_news,,
2/13/2020,Trending Search,乐华娱乐声明,软新闻-娱乐圈,Soft_news_celebrity&social,Soft_news,,声明
8/4/2020,Trending Search,救救苹果肌,软新闻-休闲,Soft_news_casual,Soft_news,,
7/27/2020,Trending Search,顾佳和太太圈决裂,软新闻-娱乐圈,Soft_news_celebrity&social,Soft_news,,
5/1/2020,Trending Search,内蒙古大兴安岭林区发生雷电火灾,社会热点-灾难,Current_affairs_disasters,Domestic_news,,
11/25/2019,Trending Search,青岛的风有多大,软新闻-休闲,Soft_news_casual,Soft_news,,
12/10/2020,Trending Search,瞿泽林王颖飞CP感,软新闻-娱乐圈,Soft_news_celebrity&social,Soft_news,,
11/18/2020,Trending Search,语气词对女生有多重要,软新闻-休闲,Soft_news_casual,Soft_news,,
8/10/2020,Trending Search,黄子韬有实力就会发光,软新闻-娱乐圈,Soft_news_celebrity&social,Soft_news,,
3/5/2020,Trending Search,韩国新冠肺炎升至5766人,国际新闻,International_affairs_world,International_news,,
10/12/2020,Trending Search,湖人 热火,软新闻-娱乐圈,Soft_news_celebrity&social,Soft_news,,
9/18/2020,Trending Search,27号床快醒醒我是来报恩的,软新闻-娱乐圈,Soft_news_celebrity&social,Soft_news,,
12/24/2019,Trending Search,女子边吃火锅边看演唱会,软新闻-休闲,Soft_news_casual,Soft_news,,
4/13/2020,Trending Search,影视剧里的撩人名场面,软新闻-娱乐圈,Soft_news_celebrity&social,Soft_news,,
12/15/2019,Trending Search,珍珠奶茶馒头,软新闻-休闲,Soft_news_casual,Soft_news,,
9/13/2020,Trending Search,车主停车甩尾给邻居让出空间,软新闻-休闲,Soft_news_casual,Soft_news,,
8/8/2020,Trending Search,全民健身集结号,软新闻-休闲,Soft_news_casual,Soft_news,,
1/6/2020,Trending Search,堪培拉浓烟锁城,国际新闻,International_affairs_world,International_news,,
8/10/2020,Trending Search,虽然是精神病但没关系,软新闻-休闲,Soft_news_casual,Soft_news,,
6/14/2020,Trending Search,爆款来了,软新闻-休闲,Soft_news_casual,Soft_news,,
4/4/2020,Trending Search,全国性哀悼活动,公民教育,Civic_education,Soft_news,,
8/18/2020,Trending Search,权志龙的画,软新闻-娱乐圈,Soft_news_celebrity&social,Soft_news,,
11/13/2020,Trending Search,教育局回应老师发满意度调查标准答案,社会热点-社会热点,Current_affairs_society&issues,Domestic_news,,1
10/20/2020,Trending Search,双十一来临前的焦虑感,软新闻-休闲,Soft_news_casual,Soft_news,,
3/19/2020,Trending Search,意大利又一名市长因新冠肺炎去世,国际新闻,International_affairs_world,International_news,,
6/17/2020,Trending Search,突尼斯发现20具偷渡者遗体,国际新闻,International_affairs_world,International_news,,
9/8/2020,Trending Search,00后苗族小伙参军全寨送行,软新闻-休闲,Soft_news_casual,Soft_news,,
12/10/2019,Trending Search,新西兰火山喷发岛上47人国籍已确认,国际新闻,International_affairs_world,International_news,,
10/10/2020,Trending Search,国庆假期游客在重庆吃了一千万桌火锅,社会热点-趋势,Current_affairs_trends,Domestic_news,,
6/3/2020,Trending Search,美多州州长拒绝特朗普想派军队决定,国际新闻,International_affairs_world,International_news,,
10/26/2020,Trending Search,秋冬季节脱衣服有多困难,软新闻-休闲,Soft_news_casual,Soft_news,,
2/26/2020,Trending Search,房似锦扶徐姑姑上厕所,软新闻-娱乐圈,Soft_news_celebrity&social,Soft_news,,
10/27/2020,Trending Search,父亲91岁生日子女买10层蛋糕庆祝,软新闻-休闲,Soft_news_casual,Soft_news,,
12/28/2019,Trending Search,男生求婚整栋宿舍楼助攻,软新闻-休闲,Soft_news_casual,Soft_news,,
4/15/2020,Trending Search,你和14岁时的区别,软新闻-休闲,Soft_news_casual,Soft_news,,
8/19/2020,Trending Search,今年报考医学专业的人更多了,社会热点-趋势,Current_affairs_trends,Domestic_news,,
7/18/2020,Trending Search,陆一舟下线,软新闻-娱乐圈,Soft_news_celebrity&social,Soft_news,,
5/1/2020,Trending Search,五月第一天的我,软新闻-休闲,Soft_news_casual,Soft_news,,
8/13/2020,Trending Search,融入女团的完美翻跳,软新闻-娱乐圈,Soft_news_celebrity&social,Soft_news,,
1/30/2020,Trending Search,湖北松滋市委书记黄祥龙疑似感染,社会热点-社会热点,Current_affairs_society&issues,Domestic_news,,
7/28/2020,Trending Search,在澳中国留学生虚拟绑架案激增,中外新闻,International_affairs_china_related,International_news,,
11/22/2019,Trending Search,男生有多在意女生的体重,软新闻-休闲,Soft_news_casual,Soft_news,,
4/30/2020,Trending Search,张文宏回应两周把病毒闷死,软新闻-娱乐圈,Soft_news_celebrity&social,Soft_news,,1
3/28/2020,Trending Search,王嘉尔直播,软新闻-娱乐圈,Soft_news_celebrity&social,Soft_news,,
6/26/2020,Trending Search,孟佳实力,软新闻-娱乐圈,Soft_news_celebrity&social,Soft_news,,
2/29/2020,Trending Search,蔡徐坤 快乐大本营,软新闻-娱乐圈,Soft_news_celebrity&social,Soft_news,,
1/30/2020,Trending Search,曼城不敌曼联,软新闻-娱乐圈,Soft_news_celebrity&social,Soft_news,,
10/17/2020,Trending Search,TES连扳两局,软新闻-娱乐圈,Soft_news_celebrity&social,Soft_news,,
7/1/2020,Trending Search,仝卓 我会学习先做一个对的人,软新闻-娱乐圈,Soft_news_celebrity&social,Soft_news,,
10/4/2020,Trending Search,13岁少年智救80岁落水老人,社会热点-社会热点,Current_affairs_society&issues,Domestic_news,,
2/17/2020,Trending Search,爱的迫降大结局,软新闻-娱乐圈,Soft_news_celebrity&social,Soft_news,,
4/4/2020,Trending Search,贝索斯捐1亿美元为穷人提供食物,国际新闻,International_affairs_world,International_news,,
9/24/2020,Trending Search,大张伟 浪漫,软新闻-娱乐圈,Soft_news_celebrity&social,Soft_news,,
10/20/2020,Trending Search,北京发布选购进口冷冻冰鲜注意事项,政府政策,Government_policy,Domestic_news,,
11/7/2020,Trending Search,施柏宇演的东九好可爱,软新闻-娱乐圈,Soft_news_celebrity&social,Soft_news,,
11/27/2020,Trending Search,少年的你将代表香港角逐奥斯卡,软新闻-娱乐圈,Soft_news_celebrity&social,Soft_news,,
8/24/2020,Trending Search,三伏天终于过完了,软新闻-休闲,Soft_news_casual,Soft_news,,
10/17/2020,Trending Search,蔡徐坤玩涂鸦,软新闻-娱乐圈,Soft_news_celebrity&social,Soft_news,,
10/20/2020,Trending Search,体校回应老师带队与学生群殴,社会热点-社会热点,Current_affairs_society&issues,Domestic_news,,1
4/19/2020,Trending Search,一条小团团露脸,软新闻-娱乐圈,Soft_news_celebrity&social,Soft_news,,
5/24/2020,Trending Search,蔡徐坤新单情人,软新闻-娱乐圈,Soft_news_celebrity&social,Soft_news,,
12/31/2020,Trending Search,周深说父母其实也不知道怎么当父母,软新闻-娱乐圈,Soft_news_celebrity&social,Soft_news,,
12/9/2020,Trending Search,李子柒手酿柿子醋,软新闻-娱乐圈,Soft_news_celebrity&social,Soft_news,,
12/27/2020,Trending Search,杨笠,软新闻-娱乐圈,Soft_news_celebrity&social,Soft_news,,
6/15/2020,Trending Search,美国将释放数百万只转基因蚊子,国际新闻,International_affairs_world,International_news,,
8/11/2020,Trending Search,王大陆母亲去世,软新闻-娱乐圈,Soft_news_celebrity&social,Soft_news,,
6/29/2020,Trending Search,美妆蛋的新用途,软新闻-休闲,Soft_news_casual,Soft_news,,
8/3/2020,Trending Search,脑洞三十而已大结局,软新闻-娱乐圈,Soft_news_celebrity&social,Soft_news,,
6/24/2020,Trending Search,北京暴雨,软新闻-休闲,Soft_news_casual,Soft_news,,
5/14/2020,Trending Search,印度最大贫民窟确诊病例破千,国际新闻,International_affairs_world,International_news,1,
4/19/2020,Trending Search,留澳学子收到健康包,社会热点-社会热点,Current_affairs_society&issues,Domestic_news,,
7/6/2020,Trending Search,仝卓喊话郑云龙,软新闻-娱乐圈,Soft_news_celebrity&social,Soft_news,,
3/19/2020,Trending Search,广州一大厦现连续高空砸物事件,社会热点-社会热点,Current_affairs_society&issues,Domestic_news,,
7/27/2020,Trending Search,河神2结局,软新闻-娱乐圈,Soft_news_celebrity&social,Soft_news,,
1/29/2020,Trending Search,林俊杰 Stay With You,软新闻-娱乐圈,Soft_news_celebrity&social,Soft_news,,
5/1/2020,Trending Search,跟对象的第一条聊天记录,软新闻-休闲,Soft_news_casual,Soft_news,,
3/21/2020,Trending Search,流浪猫每天陪武警站岗,软新闻-休闲,Soft_news_casual,Soft_news,,
5/28/2020,Trending Search,世卫组织宣布成立基金会,国际新闻,International_affairs_world,International_news,,
11/28/2020,Trending Search,内蒙古根河现美丽日晕,软新闻-休闲,Soft_news_casual,Soft_news,,
12/21/2020,Trending Search,费曼叫吴镇宇别再偷他的车和牛奶了,软新闻-娱乐圈,Soft_news_celebrity&social,Soft_news,,
2/22/2020,Trending Search,何炅做双皮奶,软新闻-娱乐圈,Soft_news_celebrity&social,Soft_news,,
1/2/2020,Trending Search,看过最油腻的霸道总裁,软新闻-娱乐圈,Soft_news_celebrity&social,Soft_news,,
7/14/2020,Trending Search,鞠婧祎露肩上衣,软新闻-娱乐圈,Soft_news_celebrity&social,Soft_news,,
6/6/2020,Trending Search,文旅部提醒切勿前往澳大利亚旅游,政府政策,Government_policy,Domestic_news,,
11/25/2020,Trending Search,九尾道歉,软新闻-娱乐圈,Soft_news_celebrity&social,Soft_news,,
9/24/2020,Trending Search,默克尔反对对华为发布针对性禁令,中外新闻,International_affairs_china_related,International_news,,
4/1/2020,Trending Search,孟晚舟引渡案因疫情延后,犯罪与审判,Criminal&court,Domestic_news,1,
5/16/2020,Trending Search,周末早醒定律,软新闻-休闲,Soft_news_casual,Soft_news,,
12/16/2019,Trending Search,误杀,软新闻-娱乐圈,Soft_news_celebrity&social,Soft_news,,
9/12/2020,Trending Search,掘金逆转快船,软新闻-娱乐圈,Soft_news_celebrity&social,Soft_news,,
1/16/2020,Trending Search,看到女友卸妆后的体验,软新闻-休闲,Soft_news_casual,Soft_news,,
2/25/2020,Trending Search,斯黛拉怼小三,软新闻-娱乐圈,Soft_news_celebrity&social,Soft_news,,
10/28/2020,Trending Search,顶楼,软新闻-娱乐圈,Soft_news_celebrity&social,Soft_news,,
6/4/2020,Trending Search,呷哺呷哺被列为被执行人,社会热点-经济,Current_affairs_economy,Domestic_news,,
12/2/2020,Trending Search,小米成立集团总办,社会热点-经济,Current_affairs_economy,Domestic_news,,
12/13/2020,Trending Search,黑龙江新增5例确诊,社会热点-趋势,Current_affairs_trends,Domestic_news,,
11/1/2020,Trending Search,琦乐吾穷,软新闻-休闲,Soft_news_casual,Soft_news,,
2/9/2020,Trending Search,河南累计确诊病例超千例,社会热点-趋势,Current_affairs_trends,Domestic_news,1,
3/8/2020,Trending Search,骑骆驼找信号上网课,软新闻-休闲,Soft_news_casual,Soft_news,,
3/10/2020,Trending Search,NBA宣布更衣室不再对媒体开放,软新闻-娱乐圈,Soft_news_celebrity&social,Soft_news,,
10/23/2020,Trending Search,郭德纲回应郭麒麟一人养活德云社,软新闻-娱乐圈,Soft_news_celebrity&social,Soft_news,,1
12/13/2020,Trending Search,这是今天10点的南京,软新闻-休闲,Soft_news_casual,Soft_news,,
10/5/2020,Trending Search,巩俐三页纸台词一条过,软新闻-娱乐圈,Soft_news_celebrity&social,Soft_news,,
11/21/2020,Trending Search,公司组织员工拓展训练致3死1伤,社会热点-社会热点,Current_affairs_society&issues,Domestic_news,,
10/7/2020,Trending Search,薇娅双十一爆款清单,软新闻-休闲,Soft_news_casual,Soft_news,,
12/2/2019,Trending Search,Zara创始人囤积780亿房产,社会热点-社会热点,Current_affairs_society&issues,Domestic_news,,
6/28/2020,Trending Search,驻港公署回应美国对中方官员签证限制,中外新闻,International_affairs_china_related,International_news,,1
